;;;;;;;;;Goals;Goals;Goals;Goals;Goals;Expected;Expected;Expected;Expected;Launched;Launched;Launched;Passes;Passes;Passes;Passes;Goal Kicks;Goal Kicks;Goal Kicks;Crosses;Crosses;Crosses;Sweeper;Sweeper;Sweeper;;#NAME?
87;Lukáš Hrádecký;fi FIN;GK;Eint Frankfurt;de Bundesliga;27;1989;34.0;1.32;0.06;0.06;0.21;0.06;1.21;0.30;-0.05;-0.05;7.97;19.5;40.9;31.1;4.82;45.0;37.2;7.09;77.2;56.1;14.2;1.35;9.5;1.74;1.74;15.2;Matches;ad3389d5
88;Gorka Iraizoz;es ESP;GK;Girona;es La Liga;36;1981;8.5;1.53;0.00;0.12;0.00;0.24;1.56;0.37;0.27;+0.27;7.41;19.1;38.9;23.1;5.53;59.7;43.7;6.12;86.5;57.3;9.06;0.59;6.5;1.65;1.65;15.3;Matches;26f2473f
89;Eldin Jakupovi?;ch SUI;GK;Leicester City;eng Premier League;32;1984;2.0;3.00;0.00;0.00;0.00;0.50;2.30;0.39;-0.20;-0.18;8.00;18.0;44.4;20.5;6.00;56.1;45.4;7.00;92.9;61.8;12.0;0.00;0.0;4.00;4.00;20.1;Matches;1148323a
90;Rune Jarstein;no NOR;GK;Hertha BSC;de Bundesliga;32;1984;31.0;1.42;0.16;0.00;0.23;0.03;1.15;0.22;-0.23;-0.23;9.23;24.5;37.6;28.5;3.26;61.5;44.0;8.03;88.0;57.9;15.6;1.19;7.7;0.48;0.48;11.9;Matches;27d2618c
91;Karl-Johan Johnsson;se SWE;GK;Guingamp;fr Ligue 1;27;1990;38.0;1.55;0.13;0.00;0.13;0.03;1.33;0.26;-0.20;-0.20;7.76;18.6;41.8;22.8;4.29;52.4;41.2;8.11;81.5;58.6;14.4;0.71;4.9;0.55;0.55;12.9;Matches;a56bd2ee
92;Bingourou Kamara;sn SEN;GK;Strasbourg;fr Ligue 1;20;1996;18.8;1.70;0.11;0.00;0.32;0.00;1.42;0.29;-0.28;-0.28;7.02;18.0;39.1;23.9;4.04;44.7;38.3;8.94;81.5;54.8;15.1;1.01;6.7;0.64;0.64;12.6;Matches;3814120d
93;Loris Karius;de GER;GK;Liverpool;eng Premier League;24;1993;19.0;0.74;0.11;0.00;0.11;0.00;0.70;0.23;-0.04;-0.04;3.47;11.9;29.1;27.6;5.58;33.0;32.6;5.42;52.4;45.8;10.5;0.53;5.0;1.74;1.74;17.5;Matches;32e7ce92
94;Orestis Karnezis;gr GRE;GK;Watford;eng Premier League;32;1985;14.4;1.67;0.21;0.00;0.14;0.00;1.38;0.31;-0.29;-0.29;8.40;22.3;37.7;22.4;2.15;76.2;48.2;5.63;92.6;58.0;12.6;0.69;5.5;0.63;0.63;13.4;Matches;85b011bb
95;Eiji Kawashima;jp JPN;GK;Metz;fr Ligue 1;34;1983;28.5;2.11;0.00;0.04;0.32;0.04;1.99;0.34;-0.08;-0.08;7.65;20.4;37.5;23.0;4.95;55.9;42.5;8.32;91.1;60.5;14.2;0.25;1.7;1.16;1.16;15.5;Matches;a4527d33
96;Hervé Koffi;bf BFA;GK;Lille;fr Ligue 1;20;1996;4.0;2.75;0.25;0.00;0.50;0.25;2.02;0.35;-0.47;-0.48;4.50;12.5;36.0;22.0;4.00;37.5;36.4;8.75;48.6;45.6;14.8;1.75;11.9;2.75;2.75;16.3;Matches;faf873a7
97;Tomáš Koubek;cz CZE;GK;Rennes;fr Ligue 1;24;1992;34.0;1.06;0.06;0.00;0.15;0.06;1.18;0.29;0.18;+0.18;6.03;17.0;35.5;20.7;3.03;52.7;40.6;7.91;77.0;54.2;15.0;0.74;4.9;1.44;1.44;15.5;Matches;dc366c36
98;Maksym Koval;ua UKR;GK;La Coruña;es La Liga;24;1992;1.3;2.31;;;;;0.92;0.24;;;8.46;20.0;42.3;22.3;6.92;44.8;37.4;14.6;68.4;54.4;20.8;;;;;9.3;Matches;60713cb3
99;Thomas Kraft;de GER;GK;Hertha BSC;de Bundesliga;29;1988;3.0;0.67;0.33;0.00;0.00;0.00;1.17;0.18;0.50;+0.51;10.0;26.3;38.0;36.0;1.67;59.3;41.5;9.33;53.6;44.2;13.0;0.00;0.0;1.33;1.33;18.2;Matches;bb25c778
100;Alban Lafont;fr FRA;GK;Toulouse;fr Ligue 1;18;1999;38.0;1.42;0.16;0.08;0.16;0.05;1.37;0.30;0.01;+0.01;8.29;19.5;42.6;24.5;4.37;51.9;39.6;8.71;77.6;54.6;14.9;0.61;4.1;2.08;2.08;17.7;Matches;4e7db402
101;Eugenio Lamanna;it ITA;GK;Genoa;it Serie A;27;1989;1.0;1.00;0.00;0.00;0.00;0.00;2.10;0.70;1.10;+1.09;8.00;14.0;57.1;14.0;1.00;50.0;42.3;8.00;87.5;56.6;17.0;0.00;0.0;0.00;0.00;9.0;Matches;349601c3
102;Benjamin Lecomte;fr FRA;GK;Montpellier;fr Ligue 1;26;1991;38.0;0.87;0.13;0.03;0.11;0.00;1.00;0.29;0.13;+0.13;6.55;14.6;44.8;23.2;5.76;44.2;37.6;7.05;62.3;45.8;13.0;1.34;10.3;0.63;0.63;12.8;Matches;2fa2a875
103;Bernd Leno;de GER;GK;Leverkusen;de Bundesliga;25;1992;33.0;1.21;0.15;0.06;0.09;0.00;1.07;0.28;-0.15;-0.15;5.88;16.2;36.2;30.2;4.06;39.5;35.0;7.58;57.2;46.1;11.1;0.88;7.9;1.03;1.03;14.4;Matches;2628fd2b
104;Alexandre Letellier;fr FRA;GK;Angers;fr Ligue 1;26;1990;13.0;1.31;0.15;0.00;0.15;0.08;1.10;0.29;-0.13;-0.13;6.92;15.5;44.6;17.8;4.62;48.7;39.3;7.85;87.3;59.9;14.4;0.31;2.1;0.38;0.38;12.1;Matches;96fcd380
105;Raúl Lizoain;es ESP;GK;Las Palmas;es La Liga;26;1991;11.0;2.45;0.18;0.00;0.27;0.00;2.08;0.33;-0.37;-0.37;3.82;10.5;36.2;26.2;5.82;22.9;28.8;8.55;53.2;42.6;14.3;0.64;4.5;0.82;0.82;13.8;Matches;f69e9eee
106;Hugo Lloris;fr FRA;GK;Tottenham;eng Premier League;30;1986;36.0;0.97;0.06;0.03;0.19;0.00;0.94;0.27;-0.04;-0.04;4.28;10.7;39.9;26.1;4.69;29.9;33.4;6.31;46.7;41.5;11.9;0.47;4.0;2.08;2.08;15.6;Matches;8f62b6ee
107;Anthony Lopes;pt POR;GK;Lyon;fr Ligue 1;26;1990;34.0;1.09;0.15;0.03;0.09;0.09;1.11;0.23;0.11;+0.10;3.50;9.53;36.7;23.8;4.97;28.0;31.6;7.03;40.6;39.0;15.1;0.62;4.1;0.88;0.88;13.9;Matches;f00de885
108;Diego López;es ESP;GK;Espanyol;es La Liga;35;1981;9.5;1.16;0.11;0.00;0.00;0.21;1.13;0.24;0.18;+0.18;5.79;17.5;33.1;18.7;4.11;48.3;39.3;9.68;87.0;54.2;15.4;0.42;2.7;0.11;0.11;11.3;Matches;73683fa9
109;Pau López;es ESP;GK;Espanyol;es La Liga;22;1994;28.5;1.09;0.11;0.04;0.18;0.00;1.28;0.27;0.19;+0.19;6.39;17.8;35.9;20.3;4.67;53.3;41.6;8.32;84.0;58.4;14.8;0.95;6.4;0.81;0.81;13.1;Matches;20b9f052
110;Pedro López;es ESP;GK;Betis;es La Liga;22;1995;4.6;1.74;0.00;0.00;0.43;0.00;1.02;0.29;-0.72;-0.72;3.26;10.2;31.9;31.1;5.00;21.0;27.7;8.48;43.6;39.8;11.7;1.09;9.3;1.09;1.09;13.0;Matches;bfa29677
111;Jonas Lössl;dk DEN;GK;Huddersfield;eng Premier League;28;1989;38.0;1.53;0.11;0.00;0.16;0.03;1.36;0.30;-0.14;-0.14;9.47;23.4;40.4;28.5;2.71;59.4;45.2;8.00;81.6;57.9;13.0;0.82;6.3;1.45;1.45;14.4;Matches;939bc634
112;Andreas Luthe;de GER;GK;Augsburg;de Bundesliga;30;1987;2.0;2.00;0.50;0.00;0.00;0.00;1.75;0.35;-0.25;-0.26;5.00;13.0;38.5;32.5;6.00;32.3;32.1;7.00;35.7;35.4;15.5;2.50;16.1;0.50;0.50;6.6;Matches;7fe12375
113;Raïs M'Bolhi;dz ALG;GK;Rennes;fr Ligue 1;31;1986;1.0;3.00;2.00;0.00;1.00;0.00;2.30;0.05;-0.70;-0.72;3.00;14.0;21.4;20.0;2.00;55.0;44.0;4.00;75.0;57.0;9.00;0.00;0.0;0.00;0.00;12.0;Matches;c121a641
114;Mike Maignan;fr FRA;GK;Lille;fr Ligue 1;22;1995;33.7;1.57;0.09;0.03;0.06;0.06;1.38;0.27;-0.13;-0.13;4.15;10.3;40.2;25.8;5.82;23.2;29.5;8.49;51.4;44.8;13.0;0.95;7.3;1.51;1.51;16.1;Matches;fcb38f57
115;Steve Mandanda;fr FRA;GK;Marseille;fr Ligue 1;32;1985;30.0;1.23;0.10;0.07;0.17;0.03;1.09;0.26;-0.11;-0.11;4.43;12.1;36.6;23.4;4.23;37.9;34.4;6.20;52.2;41.7;11.0;0.83;7.6;0.47;0.47;11.8;Matches;1d2d5cc8
116;Gabriele Marchegiani;it ITA;GK;SPAL;it Serie A;21;1996;0.0;0;0;0;0;0;0.0;;0.0;0.00;0;0;;0;0;;;0;;;0;0;;0;0.00;;Matches;8cf63012
117;Emiliano Martínez;ar ARG;GK;Getafe;es La Liga;24;1992;5.0;1.40;0.20;0.00;0.40;0.00;1.28;0.29;-0.12;-0.11;9.80;25.6;38.3;20.6;2.20;78.6;52.5;9.60;97.9;65.7;14.0;0.80;5.7;0.60;0.60;9.9;Matches;7956236f
118;Christian Mathenia;de GER;GK;Hamburger SV;de Bundesliga;25;1992;24.0;1.58;0.13;0.00;0.17;0.04;1.53;0.36;-0.01;-0.01;5.63;17.0;33.0;21.1;3.29;51.4;40.6;8.29;74.9;55.8;13.8;0.83;6.0;0.75;0.75;14.8;Matches;4a15e95b
119;Alex McCarthy;eng ENG;GK;Southampton;eng Premier League;27;1989;18.0;1.44;0.06;0.00;0.22;0.00;1.14;0.30;-0.31;-0.30;5.50;18.9;29.1;16.9;3.11;63.8;44.2;8.78;92.4;59.5;17.3;1.06;6.1;0.56;0.56;10.9;Matches;36c2ca73
120;Brais Méndez;es ESP;MFFW;Celta Vigo;es La Liga;20;1997;10.5;;;;;;;;;;;;;;;;;;;;;;;;;;Matches;c9e39d91
121;Alex Meret;it ITA;GK;SPAL;it Serie A;20;1997;12.9;1.24;0.23;0.00;0.16;0.16;1.52;0.26;0.43;+0.43;7.21;19.1;37.7;20.5;2.33;54.2;40.3;10.2;79.4;50.3;16.4;0.23;1.4;0.00;0.00;10.7;Matches;9413b19f
122;Mathieu Michel;fr FRA;GK;Angers;fr Ligue 1;25;1991;6.6;1.97;0.30;0.00;0.00;0.15;1.35;0.26;-0.47;-0.47;6.21;16.5;37.6;19.4;4.85;49.2;38.2;8.94;78.0;53.8;14.5;0.76;5.2;0.15;0.15;9.9;Matches;e39f8724
123;Simon Mignolet;be BEL;GK;Liverpool;eng Premier League;29;1988;19.0;1.26;0.11;0.00;0.16;0.00;1.21;0.34;-0.05;-0.05;3.37;10.9;30.8;26.3;5.37;33.5;32.0;5.32;40.6;39.7;10.2;0.79;7.7;1.79;1.79;17.4;Matches;d436eb94
124;Vanja Milinkovi?-Savi?;rs SRB;GK;Torino;it Serie A;20;1997;1.0;1.00;0.00;0.00;0.00;0.00;0.50;0.26;-0.50;-0.48;5.00;21.0;23.8;40.0;6.00;35.0;36.6;8.00;87.5;62.8;16.0;1.00;6.3;1.00;1.00;12.5;Matches;9fa26bc2
125;Antonio Mirante;it ITA;GK;Bologna;it Serie A;34;1983;33.0;1.39;0.06;0.03;0.12;0.09;1.27;0.28;-0.04;-0.04;10.1;20.7;48.9;28.5;4.18;47.8;38.5;9.64;73.3;49.3;19.2;0.52;2.7;1.12;1.12;14.1;Matches;30223b33
126;Jessy Moulin;fr FRA;GK;Saint-Étienne;fr Ligue 1;31;1986;3.4;1.76;0.29;0.29;0.29;0.00;2.06;0.21;0.29;+0.30;9.71;26.2;37.1;27.6;3.82;52.1;42.6;12.9;90.9;58.0;20.0;1.47;7.4;0.29;0.30;9.8;Matches;28a65a2c
127;Florian Müller;de GER;GK;Mainz 05;de Bundesliga;19;1997;5.0;1.40;0.00;0.00;0.40;0.00;1.32;0.27;-0.08;-0.08;4.20;17.0;24.7;23.2;5.00;42.2;38.0;8.20;87.8;56.6;16.2;0.20;1.2;0.80;0.80;15.3;Matches;cbac6ec9
128;Yvon Mvogo;ch SUI;GK;RB Leipzig;de Bundesliga;23;1994;1.0;1.00;0.00;0.00;0.00;0.00;1.10;0.28;0.10;+0.12;11.0;18.0;61.1;35.0;6.00;40.0;32.7;7.00;57.1;47.6;11.0;0.00;0.0;2.00;2.00;15.3;Matches;dc29b608
129;Boaz Myhill;wls WAL;GK;West Brom;eng Premier League;34;1982;1.0;1.00;0.00;0.00;0.00;0.00;0.30;0.12;-0.70;-0.65;7.00;16.0;43.8;12.0;0.00;83.3;50.2;7.00;85.7;53.4;22.0;3.00;13.6;0.00;0.00;7.5;Matches;7ca2d989
130;Keylor Navas;cr CRC;GK;Real Madrid;es La Liga;30;1986;27.0;1.15;0.07;0.00;0.22;0.04;1.23;0.28;0.11;+0.11;2.74;7.37;37.2;19.9;4.81;20.3;30.3;6.04;55.2;46.4;11.4;0.44;3.9;1.15;1.15;16.0;Matches;ecada4fc
131;Neto;br BRA;GK;Valencia;es La Liga;28;1989;33.0;1.00;0.09;0.03;0.12;0.00;1.32;0.28;0.32;+0.33;5.15;14.8;34.8;16.4;4.55;49.7;39.7;8.39;79.1;56.6;16.4;0.64;3.9;0.21;0.21;9.6;Matches;a9dc785c
132;Manuel Neuer;de GER;GK;Bayern Munich;de Bundesliga;31;1986;3.0;0.67;0.00;0.00;0.00;0.00;0.87;0.38;0.20;+0.21;4.00;7.67;52.2;26.0;3.67;25.6;31.8;5.67;17.6;31.6;5.00;0.33;6.7;1.33;1.33;15.1;Matches;8778c910
133;Alexander Nübel;de GER;GK;Schalke 04;de Bundesliga;20;1996;0.5;0.00;0.00;0.00;0.00;0.00;0.60;0.14;0.60;+0.55;10.0;26.0;38.5;26.0;6.00;46.2;39.2;18.0;77.8;52.4;14.0;0.00;0.0;2.00;2.00;30.0;Matches;afb0c500
134;Jan Oblak;si SVN;GK;Atlético Madrid;es La Liga;24;1993;37.0;0.59;0.03;0.03;0.05;0.03;0.88;0.23;0.32;+0.32;5.16;15.3;33.7;17.1;2.92;55.1;42.4;7.43;79.3;53.8;14.4;0.68;4.7;0.35;0.35;11.9;Matches;ee8508c0
135;Oier Olazábal;es ESP;GK;Levante;es La Liga;27;1989;26.0;1.50;0.19;0.00;0.15;0.12;1.46;0.28;0.08;+0.08;6.46;18.5;34.9;19.3;3.00;59.9;44.1;8.65;80.4;54.2;15.5;0.85;5.5;0.88;0.88;14.7;Matches;b5bdf144
136;David Ospina;co COL;GK;Arsenal;eng Premier League;28;1988;4.2;0.71;0.00;0.00;0.00;0.00;0.60;0.21;-0.12;-0.12;3.57;11.0;32.6;27.6;6.43;22.4;29.3;6.67;71.4;47.5;19.5;1.43;7.3;1.67;1.65;13.1;Matches;82b1198a
137;Alexandre Oukidja;dz ALG;GK;Strasbourg;fr Ligue 1;29;1988;16.2;1.79;0.25;0.00;0.06;0.00;1.71;0.33;-0.08;-0.08;8.64;21.0;41.1;22.1;3.58;62.3;43.5;8.02;90.8;60.2;14.3;0.74;5.2;0.74;0.74;13.1;Matches;ae7d0ecd
138;Ramazan Özcan;at AUT;GK;Leverkusen;de Bundesliga;33;1984;1.0;4.00;0.00;0.00;0.00;0.00;4.10;0.39;0.10;+0.09;3.00;10.0;30.0;33.0;6.00;30.3;31.0;6.00;0.0;27.0;14.0;0.00;0.0;1.00;1.00;17.0;Matches;a165a577
139;Fernando Pacheco;es ESP;GK;Alavés;es La Liga;25;1992;37.3;1.34;0.19;0.05;0.19;0.05;1.32;0.25;0.03;+0.03;8.71;20.7;42.0;18.7;2.71;65.3;43.4;9.52;89.3;56.5;17.3;0.46;2.6;0.51;0.51;12.5;Matches;97852360
140;Costel Pantilimon;ro ROU;GK;La Coruña;es La Liga;30;1987;6.0;1.50;0.17;0.17;0.00;0.17;1.38;0.29;0.05;+0.05;7.50;16.8;44.6;19.5;4.17;56.4;39.4;8.17;71.4;51.6;12.8;0.67;5.2;0.00;0.00;11.0;Matches;d24e154c
141;Ji?í Pavlenka;cz CZE;GK;Werder Bremen;de Bundesliga;25;1992;34.0;1.18;0.06;0.00;0.18;0.06;1.24;0.25;0.12;+0.12;6.88;16.9;40.6;26.9;5.44;44.7;38.6;7.53;65.2;49.6;14.2;0.79;5.6;0.50;0.50;10.7;Matches;0a1cb833
142;Gianluca Pegolo;it ITA;GK;Sassuolo;it Serie A;36;1981;1.2;0.83;0.00;0.00;0.00;0.83;1.08;0.21;1.08;+1.10;2.50;19.2;13.0;22.5;5.83;51.9;39.3;10.0;75.0;45.9;15.8;0.00;0.0;0.00;0.00;5.0;Matches;f058ed1f
143;Yohann Pelé;fr FRA;GK;Marseille;fr Ligue 1;34;1982;8.2;1.22;0.12;0.00;0.00;0.12;0.98;0.26;-0.12;-0.12;4.02;10.1;39.8;21.2;5.00;30.5;31.8;7.44;49.2;41.4;11.7;0.85;7.3;1.22;1.22;15.8;Matches;76806215
144;Mattia Perin;it ITA;GK;Genoa;it Serie A;24;1992;37.0;1.14;0.11;0.03;0.05;0.05;1.14;0.23;0.06;+0.06;8.92;20.8;42.9;24.8;3.38;51.9;40.8;9.38;84.1;56.0;14.6;0.65;4.4;0.68;0.68;13.1;Matches;4c62d0c8
145;Jordan Pickford;eng ENG;GK;Everton;eng Premier League;23;1994;38.0;1.53;0.08;0.00;0.16;0.00;1.48;0.30;-0.05;-0.05;8.47;24.9;34.1;25.9;4.26;64.0;47.8;8.95;92.6;67.2;15.6;0.71;4.6;1.34;1.34;14.9;Matches;4806ec67
146;Carlo Pinsoglio;it ITA;GK;Juventus;it Serie A;27;1990;0.3;3.33;0.00;0.00;0.00;0.00;2.33;0.36;-1.00;-0.87;0.00;0.00;;16.7;10.0;0.0;27.0;0.00;;;23.3;3.33;14.3;0.00;0.00;7.0;Matches;f6a06749
147;Julian Pollersbeck;de GER;GK;Hamburger SV;de Bundesliga;22;1994;10.0;1.50;0.00;0.10;0.10;0.00;1.55;0.34;0.05;+0.05;5.10;16.8;30.4;48.0;4.90;29.6;32.7;6.50;40.0;40.8;11.4;1.60;14.0;1.50;1.50;15.2;Matches;d6f6ce93
148;Nick Pope;eng ENG;GK;Burnley;eng Premier League;25;1992;34.6;1.01;0.09;0.00;0.09;0.03;1.23;0.27;0.25;+0.25;10.1;28.8;35.2;26.6;3.41;77.8;52.1;8.58;94.6;66.7;17.3;1.65;9.5;1.10;1.10;12.5;Matches;4b40d9ca
149;Nicolas de Préville;fr FRA;FWMF;Lille;fr Ligue 1;26;1991;3.2;0.31;0.00;0.00;0.31;0.00;0.44;0.69;0.13;+0.12;0.00;0.63;0.0;1.25;0.00;0.0;22.3;0.63;100.0;64.5;1.25;0.00;0.0;0.31;3.33;37.0;Matches;b0547a87
150;Andrés Prieto;es ESP;GK;Málaga;es La Liga;23;1993;4.0;2.50;0.50;0.00;0.00;0.00;2.58;0.44;0.07;+0.08;7.50;22.3;33.7;19.0;0.75;73.7;48.6;8.25;100.0;64.0;14.3;0.25;1.8;0.00;0.00;11.1;Matches;113fb4ea
151;Jérôme Prior;fr FRA;GK;Bordeaux;fr Ligue 1;21;1995;2.0;1.50;0.00;0.00;0.00;0.00;1.45;0.32;-0.05;-0.05;4.50;11.0;40.9;12.5;2.00;52.0;37.6;6.00;75.0;48.1;10.5;0.00;0.0;0.50;0.50;12.4;Matches;1061c207
152;Christian Puggioni;it ITA;GK;Benevento;it Serie A;36;1981;13.1;1.98;0.38;0.00;0.23;0.00;1.89;0.31;-0.09;-0.09;6.41;14.8;43.3;27.4;6.72;32.6;32.9;9.16;64.2;44.0;15.7;1.37;8.7;1.15;1.15;14.1;Matches;b39dfab0
153;Christian Puggioni;it ITA;GK;Sampdoria;it Serie A;36;1981;9.0;1.33;0.33;0.00;0.11;0.00;1.82;0.27;0.49;+0.49;5.78;14.2;40.6;26.0;6.44;38.9;34.4;8.67;47.4;41.3;16.4;1.11;6.8;2.33;2.33;16.6;Matches;b39dfab0
154;Rafael;br BRA;GK;Cagliari;it Serie A;35;1982;8.8;1.25;0.11;0.00;0.34;0.00;1.37;0.29;0.13;+0.13;7.27;17.8;40.8;18.0;2.84;53.8;40.1;10.3;79.1;49.1;17.4;0.45;2.6;0.34;0.34;9.5;Matches;dd06d56c
155;Toño Ramírez;es ESP;GK;Real Sociedad;es La Liga;30;1986;3.5;1.71;0.00;0.00;0.29;0.00;1.37;0.44;-0.34;-0.35;4.29;14.6;29.4;30.3;3.14;29.2;31.0;7.14;80.0;53.0;12.0;0.29;2.4;0.00;0.00;7.8;Matches;dc4511f3
156;Pepe Reina;es ESP;GK;Napoli;it Serie A;34;1982;37.0;0.78;0.05;0.05;0.08;0.00;0.71;0.25;-0.07;-0.07;3.97;9.00;44.1;25.7;4.78;26.0;30.0;6.35;36.6;36.5;9.54;0.22;2.3;1.54;1.54;18.8;Matches;e358587b
157;Baptiste Reynet;fr FRA;GK;Dijon;fr Ligue 1;26;1990;38.0;1.92;0.29;0.05;0.16;0.08;1.77;0.27;-0.07;-0.07;8.24;19.1;43.1;34.8;5.97;41.4;36.2;8.50;55.7;44.8;16.9;1.26;7.5;2.18;2.18;16.8;Matches;bcf1b2e9
158;Sergio Rico;es ESP;GK;Sevilla;es La Liga;23;1993;24.0;1.63;0.13;0.04;0.21;0.00;1.43;0.34;-0.20;-0.20;4.00;12.7;31.5;19.8;4.92;37.3;33.6;8.00;66.7;49.9;14.5;0.75;5.2;0.54;0.54;12.0;Matches;5f0241b2
159;Asier Riesgo;es ESP;GK;Eibar;es La Liga;33;1983;1.0;1.00;0.00;0.00;1.00;0.00;1.80;0.36;0.80;+0.81;12.0;31.0;38.7;22.0;2.00;95.5;53.9;11.0;90.9;59.0;21.0;2.00;9.5;0.00;0.00;7.8;Matches;581c5276
160;Roberto;es ESP;GK;Málaga;es La Liga;31;1986;34.0;1.50;0.12;0.03;0.09;0.00;1.66;0.35;0.16;+0.16;8.18;21.6;37.9;21.1;2.59;66.4;46.6;8.21;92.1;60.6;14.1;0.82;5.8;0.59;0.59;11.8;Matches;ba3ca78f
161;Sergio Romero;ar ARG;GK;Manchester Utd;eng Premier League;30;1987;1.0;0.00;0.00;0.00;0.00;0.00;0.90;0.31;0.90;+0.93;6.00;14.0;42.9;18.0;5.00;44.4;37.4;7.00;85.7;58.3;18.0;1.00;5.6;0.00;0.00;4.0;Matches;1e26e376
162;Francesco Rossi;it ITA;GK;Atalanta;it Serie A;26;1991;0.1;10.0;0.00;0.00;10.0;0.00;3.00;0.17;-7.00;-7.43;10.0;10.0;100.0;30.0;20.0;33.3;33.3;0.00;;;10.0;0.00;0.0;0.00;0.00;;Matches;7b5f516f
163;Rubén;es ESP;GK;La Coruña;es La Liga;33;1984;27.5;2.11;0.07;0.11;0.33;0.07;1.72;0.34;-0.32;-0.32;6.07;15.3;39.7;17.2;3.85;52.5;39.7;8.51;73.5;53.8;16.1;0.84;5.2;0.44;0.44;11.3;Matches;24279b8b
164;Stéphane Ruffier;fr FRA;GK;Saint-Étienne;fr Ligue 1;30;1986;34.6;1.27;0.14;0.06;0.12;0.03;1.40;0.29;0.16;+0.16;5.64;15.0;37.6;25.0;3.79;39.2;34.5;7.98;65.2;45.3;15.4;0.81;5.3;0.61;0.61;12.9;Matches;cac76a72
165;Gerónimo Rulli;ar ARG;GK;Real Sociedad;es La Liga;25;1992;26.0;1.73;0.15;0.08;0.19;0.04;1.50;0.33;-0.20;-0.19;5.50;13.9;39.6;36.9;4.38;29.2;31.9;5.81;53.6;43.4;11.6;0.69;6.0;1.31;1.31;15.4;Matches;625c144a
166;Mathew Ryan;au AUS;GK;Brighton;eng Premier League;25;1992;38.0;1.42;0.03;0.03;0.39;0.13;1.28;0.28;-0.01;-0.01;9.08;23.0;39.4;21.7;3.21;66.5;44.5;9.26;93.2;57.9;16.4;1.00;6.1;0.45;0.45;10.2;Matches;4535e4bb
167;Mamadou Samassa;ml MLI;GK;Troyes;fr Ligue 1;27;1990;21.0;1.48;0.10;0.00;0.14;0.05;1.38;0.26;-0.05;-0.05;6.19;19.7;31.4;22.6;4.71;51.4;41.3;8.76;92.4;59.6;17.4;1.00;5.8;1.00;1.00;13.8;Matches;cfe852d8
168;Brice Samba;cg CGO;GK;Caen;fr Ligue 1;23;1994;3.5;1.14;0.29;0.00;0.00;0.00;1.89;0.30;0.74;+0.74;9.14;18.6;49.2;21.1;4.00;55.4;41.5;8.29;82.8;56.4;10.6;0.86;8.1;1.71;1.71;14.5;Matches;60d90c55
169;Antonio Santurro;do DOM;GK;Bologna;it Serie A;25;1992;1.0;1.00;0.00;0.00;0.00;0.00;1.10;0.22;0.10;+0.08;15.0;37.0;40.5;31.0;4.00;71.0;47.5;15.0;100.0;57.1;25.0;2.00;8.0;1.00;1.00;11.5;Matches;61228681
170;Kasper Schmeichel;dk DEN;GK;Leicester City;eng Premier League;30;1986;32.9;1.43;0.03;0.09;0.33;0.03;1.20;0.27;-0.20;-0.20;9.24;24.1;38.4;26.3;3.25;61.7;43.8;8.30;94.5;63.9;15.2;0.85;5.6;1.64;1.64;16.3;Matches;53af52f3
171;Alexander Schwolow;de GER;GK;Freiburg;de Bundesliga;25;1992;32.3;1.64;0.12;0.03;0.22;0.12;1.28;0.25;-0.24;-0.24;9.69;24.1;40.2;32.2;3.81;49.1;40.8;9.50;87.3;63.1;16.4;0.87;5.3;0.68;0.68;14.2;Matches;0d55d942
172;Simone Scuffet;it ITA;GK;Udinese;it Serie A;21;1996;6.0;1.83;0.00;0.00;0.33;0.17;1.42;0.28;-0.25;-0.26;4.67;15.5;30.1;19.2;3.83;51.3;38.6;7.00;81.0;51.3;13.3;0.17;1.3;0.33;0.33;11.1;Matches;41bd99ea
173;Luigi Sepe;it ITA;GK;Napoli;it Serie A;26;1991;1.0;0.00;0.00;0.00;0.00;0.00;0.60;0.65;0.60;+0.65;2.00;4.00;50.0;14.0;2.00;14.3;25.4;5.00;40.0;37.0;7.00;2.00;28.6;0.00;0.00;13.8;Matches;343f753a
174;Marco Silvestri;it ITA;GK;Hellas Verona;it Serie A;26;1991;2.0;3.50;0.00;0.00;0.50;0.00;2.35;0.19;-1.15;-1.13;5.50;12.5;44.0;15.0;5.00;26.7;30.2;12.0;70.8;49.0;16.5;0.00;0.0;0.00;0.00;11.0;Matches;0d422df7
175;Tobias Sippel;de GER;GK;M'Gladbach;de Bundesliga;29;1988;4.8;2.08;0.00;0.00;0.00;0.00;2.13;0.45;0.04;+0.05;6.46;18.3;35.2;31.9;3.13;41.2;37.1;7.08;73.5;53.3;13.1;0.63;4.8;1.04;1.04;14.8;Matches;0d8a37c2
176;Salvatore Sirigu;it ITA;GK;Torino;it Serie A;30;1987;37.0;1.22;0.14;0.08;0.14;0.00;1.27;0.25;0.05;+0.05;6.41;14.6;43.8;26.7;5.35;35.6;34.1;8.62;59.6;44.3;16.8;0.86;5.2;1.32;1.32;13.8;Matches;10dc46f0
177;Antonio Sivera;es ESP;GK;Alavés;es La Liga;20;1996;0.7;;;;;;0.29;0.17;;;7.14;18.6;38.5;14.3;2.86;80.0;48.6;7.14;100.0;66.4;15.7;;;;;9.0;Matches;9970da54
