;;;;;;;;;Goals;Goals;Goals;Goals;Goals;Expected;Expected;Expected;Expected;Launched;Launched;Launched;Passes;Passes;Passes;Passes;Goal Kicks;Goal Kicks;Goal Kicks;Crosses;Crosses;Crosses;Sweeper;Sweeper;Sweeper;;#NAME?
87;Bingourou Kamara;sn SEN;GK;Strasbourg;fr Ligue 1;23;1996;8.0;1.75;0.13;0.00;0.13;0.13;1.29;0.29;-0.34;-0.34;6.75;16.6;40.6;23.6;5.88;45.0;35.4;7.00;85.7;59.2;11.6;0.13;1.1;0.25;0.25;10.6;Matches;3814120d
88;Loris Karius;de GER;GK;Union Berlin;de Bundesliga;27;1993;3.2;0.31;0.00;0.00;0.00;0.31;0.28;0.23;0.28;+0.28;5.31;16.6;32.1;22.8;2.81;52.1;40.4;6.56;71.4;53.7;14.7;0.63;4.3;0.31;0.31;8.6;Matches;32e7ce92
89;Eiji Kawashima;jp JPN;GK;Strasbourg;fr Ligue 1;37;1983;24.0;1.29;0.13;0.04;0.13;0.00;1.29;0.31;0.00;0.00;8.13;16.8;48.3;21.7;3.38;50.2;38.9;8.00;74.5;53.5;14.5;0.46;3.2;0.46;0.46;11.9;Matches;a4527d33
90;Caoimhín Kelleher;ie IRL;GK;Liverpool;eng Premier League;21;1998;2.0;0.50;0.00;0.00;0.00;0.00;1.05;0.30;0.55;+0.55;1.00;7.50;13.3;25.0;6.00;22.0;28.5;7.00;28.6;30.4;13.5;0.50;3.7;1.00;1.00;16.3;Matches;62d7ef38
91;Gregor Kobel;ch SUI;GK;Stuttgart;de Bundesliga;22;1997;33.0;1.64;0.15;0.03;0.09;0.03;1.59;0.29;-0.02;-0.02;3.82;9.55;40.0;28.5;6.27;27.6;28.2;8.48;20.0;25.2;13.9;0.52;3.7;1.27;1.27;15.9;Matches;cd59b9df
92;Alban Lafont;fr FRA;GK;Nantes;fr Ligue 1;21;1999;38.0;1.45;0.26;0.05;0.18;0.03;1.35;0.24;-0.07;-0.07;5.24;16.9;31.0;22.7;3.45;50.2;39.9;6.76;80.5;54.8;13.3;0.61;4.5;0.95;0.95;14.9;Matches;4e7db402
93;Michael Langer;at AUT;GK;Schalke 04;de Bundesliga;35;1985;2.7;4.44;0.00;0.00;1.48;0.37;2.48;0.29;-1.59;-1.64;4.07;12.2;33.3;18.9;2.96;37.3;35.8;9.63;53.8;38.9;15.6;0.00;0.0;1.85;1.88;15.8;Matches;d20f088b
94;Gautier Larsonneur;fr FRA;GK;Brest;fr Ligue 1;23;1997;35.0;1.77;0.23;0.03;0.14;0.06;1.53;0.27;-0.18;-0.18;5.17;11.4;45.5;27.6;4.94;31.7;33.7;8.06;32.3;34.4;15.7;0.74;4.7;0.69;0.69;12.9;Matches;b49729cb
95;Jean-Louis Leca;fr FRA;GK;Lens;fr Ligue 1;34;1985;36.8;1.39;0.27;0.00;0.14;0.08;1.16;0.25;-0.15;-0.15;5.05;13.4;37.7;20.8;3.83;48.7;37.5;6.98;47.5;39.0;13.0;0.46;3.5;0.79;0.79;14.3;Matches;edbe46dc
96;Benjamin Lecomte;fr FRA;GK;Monaco;fr Ligue 1;29;1991;28.0;0.96;0.11;0.04;0.00;0.04;0.78;0.28;-0.15;-0.15;3.89;11.5;33.9;29.9;3.93;29.9;32.1;6.04;42.6;38.4;11.1;0.32;2.9;2.21;2.21;18.7;Matches;2fa2a875
97;Jeremías Ledesma;ar ARG;GK;Cádiz;es La Liga;27;1993;32.0;1.41;0.25;0.06;0.09;0.03;1.40;0.29;0.02;+0.02;10.7;26.1;41.0;22.1;1.88;78.1;50.4;9.28;94.6;65.1;16.0;0.97;6.1;0.66;0.66;11.5;Matches;6c4776b1
98;Bernd Leno;de GER;GK;Arsenal;eng Premier League;28;1992;34.8;1.06;0.03;0.00;0.09;0.11;0.93;0.26;-0.02;-0.02;2.24;8.42;26.6;27.4;5.26;17.2;25.4;6.52;56.8;43.0;14.0;0.52;3.7;0.95;0.95;16.1;Matches;2628fd2b
99;Karlo Letica;hr CRO;GK;Sampdoria;it Serie A;23;1997;1.0;0.00;0.00;0.00;0.00;0.00;0.20;0.22;0.20;+0.22;1.00;5.00;20.0;29.0;7.00;13.8;25.6;5.00;20.0;33.6;17.0;0.00;0.0;1.00;1.00;11.0;Matches;4a6914ff
100;Hugo Lloris;fr FRA;GK;Tottenham;eng Premier League;33;1986;38.0;1.18;0.26;0.00;0.08;0.08;1.20;0.24;0.09;+0.10;4.18;10.7;39.0;21.4;4.74;38.6;32.4;6.95;35.6;28.1;15.5;0.61;3.9;0.63;0.63;13.1;Matches;8f62b6ee
101;Niklas Lomb;de GER;GK;Leverkusen;de Bundesliga;27;1993;1.5;2.00;0.00;0.00;0.00;0.00;2.20;0.42;0.20;+0.23;3.33;8.00;41.7;35.3;9.33;17.0;28.0;4.67;42.9;38.7;11.3;0.00;0.0;1.33;1.33;18.0;Matches;9321b8ed
102;Anthony Lopes;pt POR;GK;Lyon;fr Ligue 1;29;1990;38.0;1.13;0.13;0.05;0.11;0.05;0.96;0.23;-0.12;-0.12;3.95;8.89;44.4;24.6;4.89;25.9;30.3;6.55;38.6;35.6;13.1;0.26;2.0;1.58;1.58;18.3;Matches;f00de885
103;Pau López;es ESP;GK;Roma;it Serie A;25;1994;20.2;1.44;0.15;0.05;0.20;0.15;1.26;0.27;-0.03;-0.03;2.92;8.22;35.5;27.8;5.30;22.6;29.2;5.00;38.6;35.6;8.61;0.35;4.0;1.49;1.49;19.2;Matches;20b9f052
104;Andreas Luthe;de GER;GK;Union Berlin;de Bundesliga;33;1987;30.8;1.36;0.13;0.00;0.16;0.03;1.29;0.27;-0.04;-0.04;5.84;15.4;37.9;30.1;3.51;37.1;34.2;6.98;60.9;42.8;12.2;0.58;4.8;0.65;0.65;13.1;Matches;7fe12375
105;Mike Maignan;fr FRA;GK;Lille;fr Ligue 1;25;1995;38.0;0.61;0.03;0.00;0.18;0.05;0.76;0.25;0.21;+0.21;3.24;10.3;31.3;21.7;5.11;30.3;31.6;6.32;59.6;48.7;12.9;0.71;5.5;1.16;1.16;17.2;Matches;fcb38f57
106;Rados?aw Majecki;pl POL;GK;Monaco;fr Ligue 1;20;1999;1.0;1.00;0.00;0.00;0.00;0.00;1.10;0.53;0.10;+0.05;2.00;11.0;18.2;25.0;2.00;20.0;29.3;12.0;50.0;41.4;12.0;0.00;0.0;3.00;3.00;24.7;Matches;20de219a
107;Steve Mandanda;fr FRA;GK;Marseille;fr Ligue 1;35;1985;37.0;1.22;0.08;0.03;0.19;0.03;1.05;0.29;-0.14;-0.14;3.86;13.3;29.1;27.8;5.35;32.3;31.9;7.86;54.6;42.7;15.2;0.59;3.9;0.95;0.95;15.2;Matches;1d2d5cc8
108;Niccolò Manfredini;it ITA;GK;Benevento;it Serie A;32;1988;1.0;1.00;0.00;0.00;1.00;0.00;0.90;0.18;-0.10;-0.08;1.00;5.00;20.0;24.0;9.00;8.3;25.6;7.00;42.9;36.9;19.0;2.00;10.5;3.00;3.00;13.0;Matches;e4b39692
109;Vito Mannone;it ITA;GK;Monaco;fr Ligue 1;32;1988;9.0;1.56;0.22;0.00;0.11;0.00;1.41;0.33;-0.14;-0.15;4.78;13.3;35.8;25.1;2.67;33.6;32.9;6.78;72.1;52.8;10.2;0.11;1.1;1.11;1.11;21.5;Matches;c4173f1a
110;Federico Marchetti;it ITA;GK;Genoa;it Serie A;37;1983;3.7;2.97;0.00;0.00;0.27;0.00;2.32;0.48;-0.65;-0.64;2.97;8.11;36.7;27.8;4.59;16.5;24.4;9.19;38.2;30.4;13.0;0.27;2.1;1.62;1.62;14.5;Matches;f794b426
111;Emiliano Martínez;ar ARG;GK;Aston Villa;eng Premier League;27;1992;38.0;1.21;0.13;0.05;0.11;0.03;1.29;0.24;0.11;+0.11;6.50;16.8;38.7;27.8;4.66;45.1;37.1;6.66;64.0;47.0;16.1;1.11;6.9;0.89;0.89;14.2;Matches;7956236f
112;Josep Martinez;es ESP;GK;RB Leipzig;de Bundesliga;22;1998;1.0;2.00;0.00;0.00;1.00;0.00;0.90;0.23;-1.10;-1.08;3.00;13.0;23.1;44.0;4.00;29.5;29.4;6.00;0.0;15.0;13.0;0.00;0.0;2.00;2.00;20.2;Matches;11d8aff0
113;Jordi Masip;es ESP;GK;Valladolid;es La Liga;31;1989;25.0;1.60;0.16;0.04;0.12;0.00;1.54;0.30;-0.06;-0.06;6.60;20.9;31.6;23.2;3.76;59.4;43.2;8.68;82.0;58.0;15.1;0.24;1.6;0.72;0.72;14.9;Matches;8fae77ea
114;Alex McCarthy;eng ENG;GK;Southampton;eng Premier League;30;1989;30.0;1.90;0.20;0.03;0.07;0.03;1.55;0.28;-0.32;-0.32;3.63;14.5;25.1;30.0;4.37;37.1;32.0;5.70;59.1;41.1;12.2;0.77;6.3;1.03;1.03;15.6;Matches;36c2ca73
115;Edouard Mendy;sn SEN;GK;Chelsea;eng Premier League;28;1992;30.5;0.82;0.07;0.03;0.13;0.03;0.72;0.24;-0.07;-0.07;2.33;6.46;36.0;27.7;4.13;17.6;25.4;5.87;26.8;25.7;11.0;0.56;5.1;0.89;0.89;15.2;Matches;33887998
116;Edouard Mendy;sn SEN;GK;Rennes;fr Ligue 1;28;1992;1.0;1.00;0.00;0.00;0.00;0.00;0.80;0.81;-0.20;-0.19;6.00;11.0;54.5;23.0;2.00;43.5;33.5;6.00;16.7;29.0;11.0;0.00;0.0;0.00;0.00;11.0;Matches;33887998
117;Alex Meret;it ITA;GK;Napoli;it Serie A;23;1997;22.0;1.32;0.09;0.05;0.14;0.05;1.19;0.31;-0.08;-0.08;1.59;3.50;45.5;23.2;4.36;12.2;24.9;4.23;16.1;23.3;11.0;0.36;3.3;0.59;0.59;13.1;Matches;9413b19f
118;Illan Meslier;fr FRA;GK;Leeds United;eng Premier League;20;2000;35.0;1.49;0.23;0.03;0.31;0.06;1.33;0.21;-0.10;-0.10;2.86;8.71;32.8;31.4;8.17;19.7;27.4;7.63;33.3;29.4;12.8;0.69;5.4;0.54;0.54;11.9;Matches;6b625ac2
119;Vanja Milinkovi?-Savi?;rs SRB;GK;Torino;it Serie A;23;1997;5.0;1.20;0.20;0.00;0.00;0.00;1.08;0.22;-0.12;-0.12;4.00;14.4;27.8;28.6;3.40;38.5;36.1;6.40;53.1;44.7;12.8;0.20;1.6;2.00;2.00;19.1;Matches;9fa26bc2
120;Antonio Mirante;it ITA;GK;Roma;it Serie A;37;1983;12.8;1.48;0.16;0.08;0.00;0.00;1.23;0.24;-0.25;-0.27;3.59;8.28;43.4;24.1;4.92;26.9;30.9;6.48;27.7;28.6;12.7;0.08;0.6;1.80;1.95;18.3;Matches;30223b33
121;Lorenzo Montipò;it ITA;GK;Benevento;it Serie A;24;1996;37.0;2.00;0.11;0.00;0.22;0.16;1.68;0.34;-0.15;-0.15;5.51;15.6;35.3;26.1;4.81;43.5;36.8;7.32;58.3;43.4;16.8;0.51;3.1;0.57;0.57;11.6;Matches;c1d95617
122;Jessy Moulin;fr FRA;GK;Saint-Étienne;fr Ligue 1;34;1986;29.0;1.45;0.14;0.10;0.21;0.07;1.03;0.26;-0.34;-0.34;3.41;10.6;32.1;23.3;5.03;28.7;33.4;6.90;57.0;46.2;13.0;0.55;4.2;0.45;0.45;13.1;Matches;28a65a2c
123;Florian Müller;de GER;GK;Freiburg;de Bundesliga;22;1997;31.0;1.48;0.06;0.06;0.10;0.06;1.46;0.28;0.04;+0.04;5.32;17.9;29.7;34.2;4.87;33.8;34.0;8.74;73.1;55.4;13.2;0.23;1.7;1.16;1.16;17.4;Matches;cbac6ec9
124;Juan Musso;ar ARG;GK;Udinese;it Serie A;26;1994;35.0;1.46;0.37;0.06;0.06;0.00;1.46;0.26;0.00;0.00;4.71;10.9;43.4;21.7;4.89;36.2;32.9;7.26;41.3;34.7;13.8;0.74;5.4;0.51;0.51;13.3;Matches;a111cf41
125;Paul Nardi;fr FRA;GK;Lorient;fr Ligue 1;26;1994;23.0;1.87;0.17;0.00;0.13;0.00;1.46;0.27;-0.41;-0.41;4.00;13.9;28.8;18.9;4.74;42.1;36.7;8.57;69.5;51.4;12.5;0.43;3.5;0.74;0.74;15.1;Matches;2d70dbe5
126;Keylor Navas;cr CRC;GK;Paris S-G;fr Ligue 1;33;1986;28.0;0.64;0.04;0.00;0.07;0.00;0.93;0.26;0.29;+0.28;2.32;4.96;46.8;20.4;4.11;18.2;27.2;6.07;20.6;26.7;11.0;0.00;0.0;0.89;0.89;16.6;Matches;ecada4fc
127;Neto;br BRA;GK;Barcelona;es La Liga;31;1989;7.0;0.86;0.29;0.00;0.14;0.00;1.06;0.23;0.20;+0.20;2.00;5.14;38.9;27.0;5.29;15.3;24.8;7.43;13.5;23.0;12.3;0.29;2.3;1.14;1.14;13.9;Matches;a9dc785c
128;Manuel Neuer;de GER;GK;Bayern Munich;de Bundesliga;34;1986;33.0;1.27;0.03;0.00;0.15;0.00;1.34;0.35;0.07;+0.07;3.73;7.76;48.0;34.3;5.70;20.5;28.8;5.64;12.9;27.2;10.6;0.15;1.4;3.18;3.18;23.6;Matches;8778c910
129;Will Norris;eng ENG;GK;Burnley;eng Premier League;26;1993;2.0;2.00;0.00;0.00;1.00;0.00;0.45;0.15;-1.55;-1.54;10.0;24.0;41.7;19.5;0.50;82.1;54.5;9.00;88.9;62.8;13.5;1.00;7.4;0.50;0.50;10.0;Matches;c73ada83
130;Alexander Nübel;de GER;GK;Bayern Munich;de Bundesliga;23;1996;1.0;2.00;0.00;0.00;1.00;0.00;1.10;0.28;-0.90;-0.88;1.00;3.00;33.3;28.0;2.00;10.7;23.4;8.00;0.0;20.4;12.0;1.00;8.3;0.00;0.00;7.7;Matches;afb0c500
131;Jan Oblak;si SVN;GK;Atlético Madrid;es La Liga;27;1993;38.0;0.66;0.03;0.00;0.13;0.08;0.87;0.25;0.29;+0.29;5.32;14.2;37.5;18.7;3.45;49.7;39.1;7.71;63.5;45.9;13.5;0.37;2.7;0.71;0.71;15.7;Matches;ee8508c0
132;Robin Olsen;se SWE;GK;Everton;eng Premier League;30;1990;7.0;1.29;0.14;0.00;0.00;0.00;1.36;0.29;0.07;+0.07;5.14;13.3;38.7;21.1;3.29;42.6;35.6;7.29;58.8;42.9;12.6;0.57;4.5;0.57;0.57;12.3;Matches;e7ee38c3
133;Jonas Omlin;ch SUI;GK;Montpellier;fr Ligue 1;26;1994;29.7;1.72;0.37;0.00;0.13;0.07;1.66;0.25;0.01;+0.01;6.70;15.3;43.8;24.8;5.89;39.9;35.5;8.28;65.0;48.8;14.9;0.81;5.4;0.54;0.54;13.4;Matches;c631f952
134;Stefan Ortega;de GER;GK;Arminia;de Bundesliga;27;1992;34.0;1.53;0.15;0.00;0.15;0.03;1.59;0.29;0.09;+0.09;12.8;27.6;46.5;49.9;3.56;45.9;38.6;7.35;63.2;49.1;15.4;0.50;3.2;1.29;1.29;16.8;Matches;c1242d4e
135;David Ospina;co COL;GK;Napoli;it Serie A;31;1988;16.0;0.75;0.19;0.00;0.00;0.00;0.87;0.26;0.12;+0.12;3.56;7.44;47.9;30.5;3.19;22.7;28.6;3.56;14.0;22.9;12.0;0.94;7.8;0.69;0.69;12.6;Matches;82b1198a
136;Alexandre Oukidja;dz ALG;GK;Metz;fr Ligue 1;32;1988;34.0;1.12;0.26;0.00;0.12;0.03;1.13;0.23;0.04;+0.04;6.09;15.5;39.4;22.1;5.41;43.6;38.4;8.41;69.2;51.2;15.8;1.15;7.3;1.38;1.38;16.1;Matches;ae7d0ecd
137;Fernando Pacheco;es ESP;GK;Alavés;es La Liga;28;1992;37.2;1.53;0.08;0.00;0.13;0.00;1.37;0.35;-0.16;-0.16;8.20;16.2;50.7;20.9;3.01;53.7;40.3;8.04;61.5;44.6;14.4;0.48;3.4;0.99;0.99;14.5;Matches;97852360
138;Daniele Padelli;it ITA;GK;Inter;it Serie A;34;1985;0.5;2.00;2.00;0.00;0.00;0.00;2.60;0.13;0.60;+0.50;0.00;0.00;;18.0;2.00;0.0;17.9;8.00;0.0;14.5;10.0;0.00;0.0;2.00;2.00;20.0;Matches;cf1c23d8
139;Alberto Paleari;it ITA;GK;Genoa;it Serie A;27;1992;2.3;1.30;0.00;0.00;0.00;0.00;1.26;0.25;-0.04;-0.04;3.04;13.0;23.3;25.7;4.78;39.0;34.6;8.26;36.8;35.7;14.3;0.43;3.0;0.87;0.87;11.1;Matches;94a3606c
140;Ivor Pandur;hr CRO;GK;Hellas Verona;it Serie A;20;2000;3.7;1.62;0.00;0.00;0.27;0.00;1.30;0.37;-0.32;-0.33;4.32;15.1;28.6;21.4;2.43;45.6;34.1;5.95;90.9;61.2;10.0;0.81;8.1;1.35;1.36;16.8;Matches;457cb02f
141;Rui Patrício;pt POR;GK;Wolves;eng Premier League;32;1988;37.0;1.38;0.19;0.03;0.22;0.08;1.22;0.26;-0.07;-0.07;4.32;10.4;41.8;14.6;3.95;43.9;35.5;7.24;54.5;36.8;15.1;0.57;3.8;0.32;0.32;10.6;Matches;79b0d6a0
142;Ji?í Pavlenka;cz CZE;GK;Werder Bremen;de Bundesliga;28;1992;34.0;1.68;0.12;0.00;0.21;0.09;1.43;0.28;-0.16;-0.16;6.21;13.6;45.8;25.4;4.94;37.8;33.9;8.21;48.0;40.9;16.7;0.50;3.0;0.88;0.88;14.4;Matches;0a1cb833
143;Bailey Peacock-Farrell;nir NIR;GK;Burnley;eng Premier League;23;1996;4.0;3.50;0.00;0.00;0.50;0.00;1.98;0.33;-1.52;-1.52;10.8;23.5;45.7;20.8;1.50;80.7;49.8;7.25;93.1;64.8;12.5;0.00;0.0;1.00;1.00;22.8;Matches;4879f8cb
144;Gianluca Pegolo;it ITA;GK;Sassuolo;it Serie A;39;1981;1.0;0.00;0.00;0.00;0.00;0.00;0.10;0.13;0.10;+0.13;0.00;1.00;0.0;14.0;2.00;7.1;19.1;8.00;0.0;14.0;15.0;1.00;6.7;1.00;1.00;15.3;Matches;f058ed1f
145;Yohann Pelé;fr FRA;GK;Marseille;fr Ligue 1;37;1982;1.0;2.00;0.00;0.00;0.00;0.00;1.70;0.35;-0.30;-0.26;0.00;0.00;;20.0;7.00;0.0;17.2;3.00;0.0;18.3;12.0;0.00;0.0;1.00;1.00;12.0;Matches;76806215
146;Philipp Pentke;de GER;GK;Hoffenheim;de Bundesliga;35;1985;3.0;1.00;0.00;0.33;0.00;0.00;1.37;0.36;0.37;+0.36;3.00;6.67;45.0;29.7;6.33;21.3;26.5;6.67;5.0;22.8;8.67;0.00;0.0;1.00;1.00;22.0;Matches;c41f7379
147;Juan Pérez;es ESP;GK;Osasuna;es La Liga;24;1996;3.0;1.00;0.33;0.00;0.00;0.00;1.03;0.26;0.03;+0.02;6.67;18.3;36.4;19.3;2.67;48.3;41.3;9.67;93.1;63.4;14.7;0.00;0.0;1.00;1.00;13.0;Matches;8f29e08b
148;Mattia Perin;it ITA;GK;Genoa;it Serie A;27;1992;32.0;1.38;0.22;0.00;0.16;0.06;1.48;0.27;0.17;+0.17;5.84;17.3;33.8;27.6;4.38;47.4;37.1;8.59;49.5;38.4;16.9;0.59;3.5;0.56;0.56;12.6;Matches;4c62d0c8
149;Pavao Pervan;at AUT;GK;Wolfsburg;de Bundesliga;32;1987;2.0;2.00;0.00;0.00;1.00;0.00;1.70;0.25;-0.30;-0.29;5.50;14.0;39.3;26.5;2.50;34.0;32.6;8.50;58.8;47.5;17.5;0.00;0.0;0.00;0.00;10.7;Matches;c89e8aae
150;Jordan Pickford;eng ENG;GK;Everton;eng Premier League;26;1994;30.5;1.28;0.07;0.03;0.16;0.03;1.24;0.28;-0.00;0.00;7.54;19.3;39.0;31.2;4.95;47.4;37.8;6.49;70.2;52.4;15.3;0.66;4.3;1.02;1.02;13.3;Matches;4806ec67
151;Carlo Pinsoglio;it ITA;GK;Juventus;it Serie A;30;1990;0.3;3.33;0.00;0.00;0.00;0.00;3.33;0.51;0.00;+0.07;0.00;0.00;;30.0;0.00;0.0;20.9;6.67;0.0;14.0;6.67;0.00;0.0;3.33;3.91;28.0;Matches;f6a06749
152;Nick Pope;eng ENG;GK;Burnley;eng Premier League;28;1992;32.0;1.16;0.09;0.00;0.13;0.03;1.26;0.25;0.13;+0.13;7.94;21.8;36.3;22.6;4.25;67.1;46.3;7.84;84.9;58.9;16.3;1.00;6.1;2.28;2.28;18.1;Matches;4b40d9ca
153;Ivan Provedel;it ITA;GK;Spezia;it Serie A;26;1994;29.0;1.90;0.21;0.03;0.14;0.00;1.66;0.32;-0.24;-0.24;6.38;16.9;37.8;42.9;4.55;33.4;34.2;5.41;46.5;42.0;10.3;0.31;3.0;1.59;1.59;17.2;Matches;277da414
154;Anthony Racioppi;ch SUI;GK;Dijon;fr Ligue 1;21;1998;21.0;1.57;0.14;0.00;0.19;0.00;1.59;0.33;0.01;+0.02;4.62;14.1;32.7;22.5;4.90;37.5;33.9;8.43;67.8;48.1;15.7;0.33;2.1;0.62;0.62;11.5;Matches;abc06eb3
155;Ionu? Radu;ro ROU;GK;Inter;it Serie A;23;1997;1.5;0.67;0.00;0.00;0.00;0.00;0.27;0.07;-0.40;-0.38;0.00;1.33;0.0;31.3;8.00;4.3;21.1;6.00;0.0;13.9;18.7;0.00;0.0;2.00;2.00;13.9;Matches;67f649be
156;Rafael;br BRA;GK;Spezia;it Serie A;38;1982;2.3;2.17;0.00;0.00;0.00;0.00;2.57;0.33;0.39;+0.38;5.22;15.2;34.3;39.6;4.35;34.1;32.4;6.96;25.0;27.8;16.1;0.43;2.7;0.87;0.87;12.6;Matches;dd06d56c
157;Predrag Rajkovi?;rs SRB;GK;Reims;fr Ligue 1;24;1995;36.5;1.34;0.11;0.00;0.19;0.03;1.37;0.28;0.05;+0.05;5.26;17.5;30.0;30.3;4.36;40.0;36.7;9.32;58.2;46.6;15.7;0.30;1.9;0.93;0.93;14.5;Matches;58ad9383
158;Aaron Ramsdale;eng ENG;GK;Sheffield Utd;eng Premier League;22;1998;38.0;1.66;0.08;0.00;0.21;0.08;1.43;0.26;-0.15;-0.15;6.92;21.5;32.2;22.8;3.37;64.5;45.5;7.39;91.8;64.5;15.2;0.87;5.7;0.89;0.89;12.8;Matches;466fb2c5
159;Darren Randolph;ie IRL;GK;West Ham;eng Premier League;33;1987;3.0;1.00;0.00;0.00;1.00;0.00;0.40;0.13;-0.60;-0.60;4.00;13.0;30.8;14.3;1.67;55.8;42.2;7.67;65.2;45.7;16.3;0.00;0.0;0.67;0.67;13.6;Matches;6385ebfb
160;Federico Ravaglia;it ITA;GK;Bologna;it Serie A;20;1999;4.0;2.50;0.25;0.00;0.25;0.25;1.80;0.34;-0.45;-0.44;2.00;5.75;34.8;28.5;4.25;16.7;25.6;5.75;17.4;21.8;8.25;0.00;0.0;2.00;2.00;26.2;Matches;6662d731
161;Pepe Reina;es ESP;GK;Lazio;it Serie A;37;1982;29.0;1.41;0.28;0.00;0.21;0.07;1.29;0.26;-0.06;-0.05;4.52;10.2;44.4;33.9;4.31;26.8;30.8;5.00;22.1;25.5;12.8;0.31;2.4;0.59;0.59;13.8;Matches;e358587b
162;Álex Remiro;es ESP;GK;Real Sociedad;es La Liga;25;1995;38.0;1.00;0.08;0.00;0.11;0.03;0.92;0.30;-0.05;-0.05;5.37;13.7;39.2;26.3;3.47;38.2;35.1;5.71;64.1;49.7;10.9;0.24;2.2;1.24;1.24;17.3;Matches;374ee424
163;Baptiste Reynet;fr FRA;GK;Nîmes;fr Ligue 1;29;1990;38.0;1.87;0.16;0.03;0.18;0.00;1.69;0.29;-0.18;-0.18;6.68;19.2;34.7;33.9;3.89;41.2;36.1;8.00;66.1;47.1;15.8;0.45;2.8;1.08;1.08;16.1;Matches;bcf1b2e9
164;Sergio Rico;es ESP;GK;Paris S-G;fr Ligue 1;26;1993;9.0;1.00;0.00;0.00;0.00;0.11;1.13;0.29;0.24;+0.24;0.67;2.56;26.1;17.6;4.44;10.8;23.2;6.11;10.9;24.5;12.2;0.00;0.0;1.11;1.11;18.0;Matches;5f0241b2
165;Roberto;es ESP;GK;Valladolid;es La Liga;34;1986;13.0;1.31;0.15;0.00;0.15;0.00;1.15;0.30;-0.15;-0.15;6.62;22.2;29.9;23.0;3.00;64.5;46.8;8.77;83.3;58.9;15.5;0.08;0.5;0.77;0.77;13.9;Matches;ba3ca78f
166;Joel Robles;es ESP;GK;Betis;es La Liga;30;1990;18.0;1.39;0.22;0.06;0.22;0.11;1.27;0.30;-0.01;-0.01;5.28;15.4;34.2;24.4;4.50;48.4;37.8;6.44;56.0;42.7;12.1;0.50;4.1;1.78;1.78;19.0;Matches;cda0b317
167;Marek Rodák;sk SVK;GK;Fulham;eng Premier League;23;1996;2.0;2.50;0.50;0.00;0.50;0.00;2.00;0.44;-0.50;-0.48;3.00;6.50;46.2;20.0;3.00;27.5;30.2;3.50;28.6;30.1;8.50;0.50;5.9;1.00;1.00;14.0;Matches;17acc2ed
168;Rubén;es ESP;GK;Osasuna;es La Liga;36;1984;2.1;2.38;0.00;0.00;0.00;0.00;2.10;0.55;-0.29;-0.29;15.2;23.8;64.0;21.4;0.95;80.0;49.5;6.67;100.0;59.6;11.0;0.48;4.3;1.90;1.93;19.4;Matches;24279b8b
169;John Ruddy;eng ENG;GK;Wolves;eng Premier League;33;1986;1.0;1.00;0.00;0.00;1.00;0.00;0.90;0.22;-0.10;-0.11;1.00;6.00;16.7;19.0;10.0;26.3;33.2;5.00;20.0;31.0;19.0;3.00;15.8;0.00;0.00;8.7;Matches;da8b19e2
170;Gerónimo Rulli;ar ARG;GK;Villarreal;es La Liga;28;1992;2.0;2.00;0.00;0.00;0.00;0.00;1.35;0.33;-0.65;-0.67;5.00;12.5;40.0;38.0;9.00;21.1;25.9;10.5;42.9;41.1;16.5;0.50;3.0;0.00;0.00;9.7;Matches;625c144a
171;Mathew Ryan;au AUS;GK;Arsenal;eng Premier League;28;1992;3.0;0.67;0.33;0.00;0.00;0.00;1.20;0.27;0.53;+0.55;1.00;2.33;42.9;19.7;7.00;6.8;21.9;3.00;33.3;29.9;9.33;2.00;21.4;1.33;1.33;14.3;Matches;4535e4bb
172;Mathew Ryan;au AUS;GK;Brighton;eng Premier League;28;1992;11.0;1.73;0.36;0.00;0.27;0.09;1.15;0.26;-0.49;-0.49;3.82;10.1;37.8;32.3;5.55;25.4;28.8;5.09;37.5;32.7;12.4;0.55;4.4;0.36;0.36;10.6;Matches;4535e4bb
173;Frederik Rønnow;dk DEN;GK;Schalke 04;de Bundesliga;27;1992;10.5;2.29;0.38;0.00;0.48;0.19;2.06;0.27;-0.04;-0.04;4.19;11.1;37.6;26.7;6.38;26.1;29.9;9.05;46.3;38.7;12.6;0.76;6.1;1.24;1.24;14.2;Matches;a70b8345
174;Romain Salin;fr FRA;GK;Rennes;fr Ligue 1;36;1984;15.0;0.93;0.00;0.00;0.27;0.00;0.86;0.25;-0.07;-0.08;5.07;13.2;38.4;28.3;4.73;29.2;30.6;8.13;60.7;47.9;11.3;0.20;1.8;2.60;2.60;20.8;Matches;74733221
175;Robert Sánchez;es ESP;GK;Brighton;eng Premier League;22;1997;27.0;1.00;0.07;0.00;0.19;0.04;0.86;0.24;-0.10;-0.10;5.59;15.2;36.7;34.3;4.37;34.7;33.6;6.56;50.8;41.1;12.6;0.81;6.5;1.07;1.07;14.5;Matches;6a713852
176;Kasper Schmeichel;dk DEN;GK;Leicester City;eng Premier League;33;1986;38.0;1.32;0.11;0.00;0.24;0.05;1.11;0.29;-0.15;-0.15;4.18;11.2;37.4;27.3;4.76;32.1;33.2;5.53;43.8;37.9;12.7;0.53;4.1;0.50;0.50;13.6;Matches;53af52f3
