;;;;;;;;;Goals;Goals;Goals;Goals;Goals;Expected;Expected;Expected;Expected;Launched;Launched;Launched;Passes;Passes;Passes;Passes;Goal Kicks;Goal Kicks;Goal Kicks;Crosses;Crosses;Crosses;Sweeper;Sweeper;Sweeper;;#NAME?
87;Salvador Ichazo;uy URU;GK;Torino;it Serie A;26;1992;2.8;0.71;0.36;0.00;0.36;0.00;0.93;0.18;0.21;+0.22;8.57;19.6;43.6;21.4;3.21;55.0;41.5;9.64;81.5;49.9;15.4;0.36;2.3;0.36;0.36;12.0;Matches;514f0896
88;Gorka Iraizoz;es ESP;GK;Girona;es La Liga;37;1981;6.2;1.61;0.32;0.00;0.16;0.16;1.79;0.26;0.34;+0.33;6.45;17.1;37.7;26.9;7.10;41.9;38.2;10.3;56.3;43.8;18.2;0.65;3.5;0.48;0.48;9.6;Matches;26f2473f
89;Jandrei;br BRA;GK;Genoa;it Serie A;25;1993;1.0;1.00;0.00;0.00;1.00;0.00;0.90;0.34;-0.10;-0.09;12.0;23.0;52.2;26.0;3.00;69.2;44.2;6.00;83.3;54.0;10.0;0.00;0.0;1.00;1.00;25.0;Matches;85ea4399
90;Rune Jarstein;no NOR;GK;Hertha BSC;de Bundesliga;33;1984;30.5;1.57;0.07;0.03;0.20;0.07;1.49;0.30;-0.02;-0.02;10.8;24.8;43.6;28.7;3.18;58.1;40.8;9.15;88.5;57.7;16.3;1.02;6.3;0.95;0.95;14.2;Matches;27d2618c
91;Karl-Johan Johnsson;se SWE;GK;Guingamp;fr Ligue 1;28;1990;17.0;2.00;0.12;0.06;0.06;0.00;1.48;0.29;-0.52;-0.52;8.88;20.2;43.9;21.2;3.65;62.5;44.4;7.71;90.8;60.4;12.2;0.65;5.3;0.41;0.41;11.8;Matches;a56bd2ee
92;Aleksandar Jovanovi?;rs SRB;GK;Huesca;es La Liga;25;1992;12.0;1.58;0.17;0.08;0.08;0.08;1.43;0.33;-0.07;-0.08;6.17;19.8;31.2;21.0;1.92;64.3;44.6;6.67;93.8;60.8;11.7;0.17;1.4;0.33;0.33;11.3;Matches;129dd8e7
93;Stefanos Kapino;gr GRE;GK;Werder Bremen;de Bundesliga;24;1994;0.5;2.00;0.00;0.00;0.00;0.00;1.00;0.18;-1.00;-0.98;0.00;8.00;0.0;26.0;14.0;23.1;28.5;6.00;33.3;39.7;16.0;0.00;0.0;0.00;0.00;12.0;Matches;62ba5881
94;Orestis Karnezis;gr GRE;GK;Napoli;it Serie A;33;1985;9.0;0.78;0.11;0.00;0.00;0.00;0.90;0.26;0.12;+0.13;3.11;11.0;28.3;20.2;4.22;33.5;32.4;7.00;60.3;46.6;12.1;0.44;3.7;0.67;0.67;14.1;Matches;85b011bb
95;Eiji Kawashima;jp JPN;GK;Strasbourg;fr Ligue 1;35;1983;1.0;0.00;0.00;0.00;0.00;0.00;0.10;0.14;0.10;+0.14;13.0;27.0;48.1;25.0;7.00;48.0;40.0;15.0;100.0;66.8;17.0;1.00;5.9;0.00;0.00;10.3;Matches;a4527d33
96;Gregor Kobel;ch SUI;GK;Hoffenheim;de Bundesliga;20;1997;1.0;1.00;1.00;0.00;0.00;0.00;1.60;0.10;0.60;+0.62;14.0;27.0;51.9;37.0;3.00;59.5;44.6;5.00;100.0;64.4;21.0;1.00;4.8;2.00;2.00;15.5;Matches;cd59b9df
97;Gregor Kobel;ch SUI;GK;Augsburg;de Bundesliga;20;1997;15.4;2.73;0.06;0.06;0.32;0.06;2.25;0.36;-0.42;-0.42;4.81;14.4;33.5;26.4;4.61;38.1;33.4;7.73;55.5;45.7;14.0;0.65;4.6;1.04;1.04;14.6;Matches;cd59b9df
98;Tomáš Koubek;cz CZE;GK;Rennes;fr Ligue 1;25;1992;32.5;1.48;0.09;0.00;0.25;0.03;1.20;0.27;-0.24;-0.24;5.45;13.7;39.8;20.0;4.09;41.2;36.1;7.82;69.7;50.6;15.0;0.49;3.3;1.51;1.51;17.1;Matches;dc366c36
99;Thomas Kraft;de GER;GK;Hertha BSC;de Bundesliga;30;1988;3.5;2.57;0.57;0.00;0.00;0.00;1.94;0.32;-0.63;-0.62;11.4;23.1;49.4;26.6;2.00;58.1;38.8;8.57;90.0;56.1;11.4;0.57;5.0;0.29;0.29;13.3;Matches;bb25c778
100;Alban Lafont;fr FRA;GK;Fiorentina;it Serie A;19;1999;33.5;1.19;0.15;0.03;0.15;0.09;0.98;0.21;-0.13;-0.13;4.72;13.0;36.2;22.4;4.90;39.6;36.2;7.82;53.1;42.8;15.6;0.45;2.9;0.87;0.87;14.2;Matches;4e7db402
101;Benjamin Lecomte;fr FRA;GK;Montpellier;fr Ligue 1;27;1991;37.0;1.14;0.08;0.03;0.22;0.05;1.12;0.27;0.04;+0.04;8.38;18.6;45.1;27.1;4.86;51.0;39.9;7.49;63.2;47.8;13.4;0.65;4.8;1.05;1.05;13.7;Matches;2fa2a875
102;Bernd Leno;de GER;GK;Arsenal;eng Premier League;26;1992;31.5;1.33;0.22;0.03;0.10;0.03;1.41;0.27;0.10;+0.10;4.03;12.2;33.0;27.8;5.75;29.3;31.5;7.21;56.4;45.3;12.2;0.32;2.6;1.27;1.27;15.3;Matches;2628fd2b
103;Hugo Lloris;fr FRA;GK;Tottenham;eng Premier League;31;1986;33.0;1.00;0.09;0.03;0.15;0.09;1.19;0.27;0.28;+0.28;4.97;12.4;40.2;29.0;4.88;29.5;32.2;7.64;50.0;42.2;13.8;0.39;2.9;1.09;1.09;14.9;Matches;8f62b6ee
104;Anthony Lopes;pt POR;GK;Lyon;fr Ligue 1;27;1990;34.0;1.24;0.15;0.03;0.09;0.09;1.06;0.24;-0.09;-0.09;3.74;9.00;41.5;24.1;4.97;27.1;30.4;7.35;33.6;37.7;11.6;0.38;3.3;0.88;0.88;15.2;Matches;f00de885
105;Diego López;es ESP;GK;Espanyol;es La Liga;36;1981;38.0;1.32;0.16;0.13;0.18;0.05;1.36;0.27;0.10;+0.10;5.95;14.8;40.2;22.8;3.50;39.9;35.4;8.76;64.9;47.6;17.7;0.63;3.6;0.50;0.50;12.3;Matches;73683fa9
106;Pau López;es ESP;GK;Betis;es La Liga;23;1994;33.0;1.42;0.09;0.06;0.21;0.00;1.38;0.32;-0.04;-0.04;3.21;8.52;37.7;30.2;5.24;19.0;26.4;7.55;36.9;36.7;12.3;0.70;5.7;1.39;1.39;15.9;Matches;20b9f052
107;Jonas Lössl;dk DEN;GK;Huddersfield;eng Premier League;29;1989;30.9;1.75;0.13;0.03;0.19;0.00;1.36;0.27;-0.39;-0.39;8.90;20.4;43.6;28.5;3.14;52.3;40.7;7.22;76.7;55.6;11.2;0.78;7.0;0.94;0.94;13.3;Matches;939bc634
108;Andriy Lunin;ua UKR;GK;Leganés;es La Liga;19;1999;4.1;1.22;0.24;0.00;0.24;0.00;1.54;0.23;0.32;+0.31;7.80;17.1;45.7;22.2;4.63;49.5;39.8;8.05;75.8;56.5;10.5;0.24;2.3;0.49;0.49;15.7;Matches;3061e1ec
109;Andreas Luthe;de GER;GK;Augsburg;de Bundesliga;31;1987;14.6;1.51;0.00;0.07;0.14;0.07;1.42;0.27;-0.02;-0.02;5.21;14.3;36.4;24.2;3.84;42.8;36.9;8.77;45.3;38.1;13.7;0.21;1.5;0.62;0.62;13.7;Matches;7fe12375
110;Mike Maignan;fr FRA;GK;Lille;fr Ligue 1;23;1995;38.0;0.87;0.16;0.03;0.11;0.00;1.03;0.25;0.16;+0.16;4.66;14.7;31.8;22.1;4.97;42.0;36.2;7.18;74.7;53.5;13.1;0.76;5.8;1.16;1.16;16.5;Matches;fcb38f57
111;Steve Mandanda;fr FRA;GK;Marseille;fr Ligue 1;33;1985;30.4;1.32;0.20;0.00;0.07;0.00;1.16;0.26;-0.16;-0.16;5.20;13.7;37.9;26.0;4.28;39.8;35.7;6.32;53.6;43.6;10.8;0.56;5.2;0.89;0.89;14.6;Matches;1d2d5cc8
112;Federico Marchetti;it ITA;GK;Genoa;it Serie A;35;1983;4.0;2.50;0.00;0.00;0.25;0.25;1.85;0.43;-0.40;-0.39;6.25;12.8;49.0;20.0;2.75;40.0;35.3;8.50;55.9;46.7;14.5;0.00;0.0;1.50;1.50;22.1;Matches;f794b426
113;Jordi Masip;es ESP;GK;Valladolid;es La Liga;29;1989;35.0;1.29;0.14;0.00;0.23;0.03;1.37;0.29;0.11;+0.11;6.94;22.0;31.5;23.4;4.74;58.2;42.4;9.40;89.4;60.3;16.7;0.51;3.1;0.34;0.34;11.2;Matches;8fae77ea
114;Christian Mathenia;de GER;GK;Nürnberg;de Bundesliga;26;1992;21.5;1.86;0.09;0.05;0.28;0.09;1.47;0.25;-0.30;-0.30;7.91;22.0;35.9;30.9;4.28;47.7;39.0;10.1;71.6;53.5;21.5;0.42;1.9;0.47;0.47;9.6;Matches;4a15e95b
115;Alex McCarthy;eng ENG;GK;Southampton;eng Premier League;28;1989;25.0;1.76;0.08;0.00;0.16;0.12;1.49;0.30;-0.15;-0.15;5.56;17.9;31.1;19.1;3.28;60.3;42.8;7.56;84.1;57.6;15.0;0.60;4.0;0.68;0.68;11.6;Matches;36c2ca73
116;Edouard Mendy;sn SEN;GK;Reims;fr Ligue 1;26;1992;38.0;1.11;0.18;0.03;0.08;0.05;1.18;0.26;0.13;+0.13;6.76;17.2;39.3;22.7;3.58;49.8;40.7;7.66;77.3;53.8;17.6;0.74;4.2;0.71;0.71;13.2;Matches;33887998
117;Alex Meret;it ITA;GK;Napoli;it Serie A;21;1997;12.8;0.70;0.16;0.00;0.08;0.00;0.78;0.17;0.08;+0.07;2.27;7.81;29.0;19.7;3.28;21.0;28.8;7.73;47.5;40.3;14.8;0.16;1.1;0.63;0.63;12.9;Matches;9413b19f
118;Vanja Milinkovi?-Savi?;rs SRB;GK;SPAL;it Serie A;21;1997;1.8;2.22;0.00;0.00;0.56;0.00;1.67;0.18;-0.56;-0.58;4.44;17.8;25.0;31.7;11.1;36.8;33.7;11.7;52.4;49.3;15.0;0.56;3.7;0.56;0.55;10.1;Matches;9fa26bc2
119;Antonio Mirante;it ITA;GK;Roma;it Serie A;35;1983;11.0;0.55;0.00;0.00;0.18;0.00;0.95;0.26;0.41;+0.41;6.55;14.5;45.0;20.6;3.73;39.6;35.4;8.27;76.9;51.3;15.1;0.18;1.2;0.55;0.55;13.3;Matches;30223b33
120;Jessy Moulin;fr FRA;GK;Saint-Étienne;fr Ligue 1;32;1986;1.0;1.00;0.00;0.00;0.00;1.00;1.70;0.36;1.70;+1.65;0.00;1.00;0.0;29.0;12.0;0.0;22.4;3.00;33.3;38.0;13.0;0.00;0.0;0.00;0.00;11.2;Matches;28a65a2c
121;Florian Müller;de GER;GK;Mainz 05;de Bundesliga;20;1997;24.0;1.79;0.13;0.00;0.25;0.00;1.63;0.30;-0.17;-0.17;6.54;17.7;37.0;26.2;4.38;42.3;37.7;8.54;77.1;55.1;14.8;0.50;3.4;1.04;1.04;15.0;Matches;cbac6ec9
122;Juan Musso;ar ARG;GK;Udinese;it Serie A;24;1994;29.0;1.38;0.28;0.00;0.21;0.03;1.46;0.25;0.12;+0.12;8.17;18.6;43.9;19.3;3.66;51.0;38.6;10.8;81.5;51.2;20.4;0.59;2.9;0.34;0.34;9.8;Matches;a111cf41
123;Yvon Mvogo;ch SUI;GK;RB Leipzig;de Bundesliga;24;1994;1.5;1.33;0.67;0.00;0.00;0.00;1.20;0.19;-0.13;-0.17;3.33;6.67;50.0;16.7;2.67;32.0;35.1;4.00;33.3;35.3;6.67;0.00;0.0;1.33;1.33;14.2;Matches;dc29b608
124;Keylor Navas;cr CRC;GK;Real Madrid;es La Liga;31;1986;10.0;0.80;0.00;0.00;0.20;0.00;1.00;0.32;0.20;+0.20;3.00;8.50;35.3;23.9;6.40;24.7;31.4;6.10;42.6;43.4;10.1;0.50;5.0;1.60;1.60;18.1;Matches;ecada4fc
125;Neto;br BRA;GK;Valencia;es La Liga;29;1989;34.0;1.00;0.21;0.06;0.15;0.06;1.17;0.24;0.23;+0.23;4.76;14.7;32.5;16.9;4.65;47.6;39.4;8.09;82.2;57.4;16.5;0.29;1.8;0.47;0.47;12.5;Matches;a9dc785c
126;Manuel Neuer;de GER;GK;Bayern Munich;de Bundesliga;32;1986;25.6;0.90;0.12;0.00;0.08;0.04;0.77;0.31;-0.09;-0.08;3.59;8.20;43.8;31.0;4.45;23.8;28.8;5.00;16.4;31.3;7.34;0.39;5.3;1.72;1.72;20.6;Matches;8778c910
127;Will Norris;eng ENG;GK;Wolves;eng Premier League;24;1993;0.0;0;0;0;0;0;0.0;;0.0;0.00;0;0;;0;0;;;0;;;0;0;;0;0.00;;Matches;c73ada83
128;Alexander Nübel;de GER;GK;Schalke 04;de Bundesliga;21;1996;17.6;1.65;0.17;0.00;0.00;0.00;1.70;0.32;0.05;+0.05;6.42;15.6;41.2;21.9;3.18;43.9;36.7;7.61;78.4;53.3;13.0;0.63;4.8;0.63;0.62;13.6;Matches;afb0c500
129;Jan Oblak;si SVN;GK;Atlético Madrid;es La Liga;25;1993;37.0;0.73;0.14;0.00;0.08;0.05;1.06;0.27;0.39;+0.39;5.81;15.7;37.1;15.4;2.76;56.7;41.0;7.86;88.3;57.4;14.5;0.59;4.1;0.43;0.43;12.0;Matches;ee8508c0
130;Oier Olazábal;es ESP;GK;Levante;es La Liga;28;1989;21.0;1.90;0.19;0.05;0.14;0.05;1.94;0.27;0.08;+0.08;5.52;15.1;36.5;16.7;4.62;48.7;40.5;10.7;65.6;47.5;17.3;0.67;3.9;0.67;0.67;11.8;Matches;b5bdf144
131;Alexandre Olliero;fr FRA;GK;Nantes;fr Ligue 1;22;1996;1.0;1.00;1.00;0.00;0.00;0.00;1.00;0.00;0.00;-0.02;4.00;9.00;44.4;20.0;4.00;30.0;37.6;3.00;100.0;77.0;11.0;0.00;0.0;2.00;2.00;18.3;Matches;c977ef13
132;Robin Olsen;se SWE;GK;Roma;it Serie A;28;1990;27.0;1.56;0.15;0.00;0.19;0.04;1.37;0.26;-0.15;-0.15;5.26;12.0;43.8;24.1;5.89;32.8;33.4;7.93;51.4;45.1;15.3;0.37;2.4;0.93;0.93;14.5;Matches;e7ee38c3
133;David Ospina;co COL;GK;Napoli;it Serie A;29;1988;16.2;1.23;0.06;0.06;0.19;0.00;1.01;0.25;-0.22;-0.22;2.65;8.27;32.1;21.4;4.32;23.9;29.5;7.10;44.3;38.9;11.5;0.74;6.5;0.62;0.62;13.0;Matches;82b1198a
134;Ramazan Özcan;at AUT;GK;Leverkusen;de Bundesliga;34;1984;2.0;2.50;0.50;0.00;0.50;0.50;2.45;0.24;0.45;+0.43;6.00;19.0;31.6;27.0;3.50;53.7;40.5;7.00;64.3;47.8;11.5;0.50;4.3;1.00;1.00;10.9;Matches;a165a577
135;Fernando Pacheco;es ESP;GK;Alavés;es La Liga;26;1992;35.0;1.31;0.17;0.09;0.03;0.06;1.43;0.30;0.17;+0.17;8.34;20.4;40.9;21.4;2.49;61.0;42.8;8.40;87.4;56.0;15.9;0.54;3.4;1.14;1.14;15.6;Matches;97852360
136;Rui Patrício;pt POR;GK;Wolves;eng Premier League;30;1988;37.0;1.24;0.08;0.03;0.16;0.11;1.06;0.27;-0.07;-0.07;5.76;14.6;39.4;15.6;2.78;52.8;39.1;7.68;82.7;50.5;13.3;0.38;2.8;0.49;0.49;12.1;Matches;79b0d6a0
137;Ji?í Pavlenka;cz CZE;GK;Werder Bremen;de Bundesliga;26;1992;33.1;1.42;0.09;0.06;0.15;0.00;1.42;0.30;0.00;0.00;6.37;15.0;42.6;27.9;4.83;36.4;34.8;9.18;52.0;43.1;14.9;0.39;2.6;0.76;0.76;13.4;Matches;0a1cb833
138;Gianluca Pegolo;it ITA;GK;Sassuolo;it Serie A;37;1981;2.3;1.74;0.00;0.00;0.87;0.00;1.65;0.34;-0.09;-0.10;7.39;16.1;45.9;19.6;3.91;40.0;35.1;12.6;65.5;44.2;14.3;0.43;3.0;0.00;0.00;7.3;Matches;f058ed1f
139;Yohann Pelé;fr FRA;GK;Marseille;fr Ligue 1;35;1982;7.6;1.58;0.53;0.13;0.00;0.00;1.41;0.24;-0.17;-0.17;5.00;10.0;50.0;24.3;5.39;28.1;30.6;7.50;42.1;37.5;11.2;0.53;4.7;1.18;1.19;15.0;Matches;76806215
140;Mattia Perin;it ITA;GK;Juventus;it Serie A;25;1992;9.0;0.89;0.11;0.00;0.11;0.00;0.93;0.28;0.04;+0.05;4.00;8.78;45.6;17.9;4.33;29.8;31.0;7.56;45.6;40.0;12.9;0.22;1.7;0.33;0.33;10.1;Matches;4c62d0c8
141;Pavao Pervan;at AUT;GK;Wolfsburg;de Bundesliga;30;1987;8.5;1.29;0.00;0.00;0.00;0.00;1.40;0.30;0.11;+0.10;7.88;16.5;47.9;31.8;4.47;34.4;34.0;8.82;62.7;48.9;15.5;0.35;2.3;0.24;0.24;10.9;Matches;c89e8aae
142;Jordan Pickford;eng ENG;GK;Everton;eng Premier League;24;1994;38.0;1.21;0.05;0.05;0.24;0.05;1.19;0.30;0.03;+0.03;6.66;19.1;34.9;25.8;4.00;54.0;42.3;7.66;67.0;53.7;11.3;0.37;3.2;1.05;1.05;17.3;Matches;4806ec67
143;Carlo Pinsoglio;it ITA;GK;Juventus;it Serie A;28;1990;1.0;2.00;0.00;1.00;0.00;0.00;1.00;0.32;-1.00;-1.03;6.00;10.0;60.0;22.0;6.00;22.7;30.8;14.0;35.7;35.8;15.0;0.00;0.0;0.00;0.00;5.0;Matches;f6a06749
144;Luca Plogmann;de GER;GK;Werder Bremen;de Bundesliga;18;2000;0.4;2.50;2.50;0.00;0.00;0.00;2.50;0.00;0.00;-0.05;5.00;5.00;100.0;7.50;5.00;0.0;14.3;7.50;66.7;45.7;20.0;0.00;0.0;0.00;0.00;;Matches;206c37d3
145;Giacomo Poluzzi;it ITA;GK;SPAL;it Serie A;30;1988;0.1;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;0.00;;30.0;0.00;0.0;18.7;0.00;;;0.00;0.00;;0.00;0.00;17.0;Matches;07f55871
146;Gaëtan Poussin;fr FRA;GK;Bordeaux;fr Ligue 1;19;1999;1.0;0.00;0.00;0.00;0.00;0.00;0.20;0.23;0.20;+0.23;8.00;23.0;34.8;22.0;2.00;50.0;38.4;13.0;92.3;52.6;22.0;0.00;0.0;0.00;0.00;14.0;Matches;c252c705
147;Silvio Proto;be BEL;GK;Lazio;it Serie A;35;1983;2.0;2.00;0.00;0.00;0.00;0.00;2.10;0.33;0.10;+0.10;8.50;17.5;48.6;21.0;2.50;50.0;41.4;11.0;63.6;47.0;18.5;0.50;2.7;1.00;1.00;19.2;Matches;c8a88acd
148;Ivan Provedel;it ITA;GK;Empoli;it Serie A;24;1994;16.0;2.25;0.19;0.00;0.25;0.06;1.83;0.26;-0.36;-0.36;4.56;11.6;39.5;22.6;6.44;35.5;34.5;7.69;46.3;40.0;17.4;0.75;4.3;0.50;0.50;12.2;Matches;277da414
149;Ionu? Radu;ro ROU;GK;Genoa;it Serie A;21;1997;33.0;1.39;0.15;0.00;0.21;0.03;1.37;0.27;0.01;+0.01;7.33;21.2;34.7;20.0;3.03;64.8;46.7;8.91;91.8;61.7;15.8;0.42;2.7;0.42;0.42;11.6;Matches;67f649be
150;Pepe Reina;es ESP;GK;Milan;it Serie A;35;1982;3.7;1.35;0.27;0.00;0.00;0.00;1.14;0.24;-0.22;-0.23;3.78;10.8;35.0;24.3;4.86;31.1;32.3;6.49;50.0;42.7;13.8;1.08;7.8;0.54;0.55;11.4;Matches;e358587b
151;Michael Rensing;de GER;GK;Düsseldorf;de Bundesliga;34;1984;32.0;1.94;0.22;0.03;0.22;0.00;1.70;0.30;-0.24;-0.24;6.97;17.6;39.6;21.5;4.59;43.2;36.7;9.94;83.6;54.9;16.8;0.84;5.0;0.09;0.09;9.2;Matches;c476b0c0
152;Baptiste Reynet;fr FRA;GK;Toulouse;fr Ligue 1;27;1990;30.0;1.50;0.13;0.03;0.13;0.03;1.45;0.27;-0.02;-0.02;7.03;18.5;38.0;26.3;4.60;44.9;37.8;10.4;64.4;47.7;16.6;0.50;3.0;1.07;1.07;15.4;Matches;bcf1b2e9
153;Sergio Rico;es ESP;GK;Fulham;eng Premier League;24;1993;29.0;1.93;0.14;0.00;0.31;0.07;1.74;0.29;-0.12;-0.12;8.69;20.9;41.6;21.1;3.14;61.4;41.9;9.48;84.0;55.6;16.2;0.21;1.3;0.97;0.97;14.3;Matches;5f0241b2
154;Asier Riesgo;es ESP;GK;Eibar;es La Liga;34;1983;14.0;1.43;0.00;0.00;0.00;0.07;1.19;0.36;-0.17;-0.17;9.00;19.9;45.3;22.0;2.93;65.6;44.6;5.71;95.0;62.1;9.43;0.36;3.8;1.93;1.93;18.1;Matches;581c5276
155;Joel Robles;es ESP;GK;Betis;es La Liga;28;1990;5.0;1.00;0.20;0.00;0.20;0.00;1.20;0.24;0.20;+0.19;4.40;11.2;39.3;31.6;4.40;28.5;30.6;5.40;40.7;36.9;12.0;0.40;3.3;2.40;2.40;18.7;Matches;cda0b317
156;Francesco Rossi;it ITA;GK;Atalanta;it Serie A;27;1991;0.0;0;0;0;0;0;0.0;;0.0;0.00;1;1;100.0;1;0;100.0;50.0;0;;;0;0;;0;0.00;;Matches;7b5f516f
157;John Ruddy;eng ENG;GK;Wolves;eng Premier League;31;1986;1.0;0.00;0.00;0.00;0.00;0.00;0.10;0.05;0.10;+0.14;5.00;11.0;45.5;14.0;2.00;35.7;37.9;7.00;85.7;49.7;15.0;1.00;6.7;0.00;0.00;11.0;Matches;da8b19e2
158;Stéphane Ruffier;fr FRA;GK;Saint-Étienne;fr Ligue 1;31;1986;37.0;1.08;0.19;0.00;0.19;0.00;1.28;0.27;0.20;+0.20;4.62;15.4;30.0;23.6;4.30;43.2;36.4;8.65;60.3;44.1;12.8;0.30;2.3;0.49;0.49;12.8;Matches;cac76a72
159;Gerónimo Rulli;ar ARG;GK;Real Sociedad;es La Liga;26;1992;27.0;1.30;0.07;0.04;0.37;0.07;1.10;0.25;-0.12;-0.12;5.74;15.9;36.0;32.3;3.96;32.2;32.7;8.07;68.3;49.3;15.9;0.85;5.3;1.15;1.15;14.4;Matches;625c144a
160;Mathew Ryan;au AUS;GK;Brighton;eng Premier League;26;1992;34.0;1.62;0.24;0.03;0.15;0.00;1.51;0.29;-0.11;-0.11;8.88;21.6;41.1;20.6;2.94;61.7;42.7;9.53;93.2;58.8;14.9;0.50;3.4;0.32;0.32;11.6;Matches;4535e4bb
161;Frederik Rønnow;dk DEN;GK;Eint Frankfurt;de Bundesliga;25;1992;1.4;0.00;0.00;0.00;0.00;0.00;0.50;0.10;0.50;+0.52;14.3;28.6;50.0;30.0;2.14;66.7;44.6;9.29;92.3;59.9;11.4;0.71;6.3;0.00;0.00;9.0;Matches;a70b8345
162;Samuel ?ahin-Radlinger;at AUT;GK;Hannover 96;de Bundesliga;25;1992;1.0;2.00;0.00;0.00;0.00;0.00;1.30;0.36;-0.70;-0.66;9.00;15.0;60.0;18.0;3.00;44.4;38.3;8.00;87.5;58.0;8.00;1.00;12.5;4.00;4.00;20.7;Matches;e385200c
163;Brice Samba;cg CGO;GK;Caen;fr Ligue 1;24;1994;38.0;1.42;0.16;0.11;0.13;0.05;1.73;0.31;0.37;+0.37;9.37;20.3;46.1;24.0;4.68;56.7;41.3;8.32;80.4;54.6;15.9;0.97;6.1;0.42;0.42;11.7;Matches;60d90c55
164;Roberto Santamaría;es ESP;GK;Huesca;es La Liga;33;1985;20.0;1.50;0.30;0.05;0.00;0.05;1.68;0.30;0.23;+0.23;10.9;24.1;45.3;20.9;1.85;78.2;51.2;8.25;94.5;63.4;15.4;0.25;1.6;0.35;0.35;11.6;Matches;bca21ef3
165;Kasper Schmeichel;dk DEN;GK;Leicester City;eng Premier League;31;1986;38.0;1.26;0.13;0.00;0.11;0.00;1.05;0.26;-0.21;-0.21;7.42;16.8;44.1;24.6;3.34;44.3;37.7;8.16;72.6;52.3;14.1;0.32;2.2;0.66;0.66;12.5;Matches;53af52f3
166;Alexander Schwolow;de GER;GK;Freiburg;de Bundesliga;26;1992;33.0;1.82;0.21;0.00;0.33;0.00;1.73;0.31;-0.08;-0.09;7.82;19.3;40.6;28.5;4.30;39.8;36.7;10.0;79.4;59.4;16.5;0.39;2.4;0.88;0.88;14.8;Matches;0d55d942
167;Simone Scuffet;it ITA;GK;Udinese;it Serie A;22;1996;9.0;1.44;0.11;0.00;0.00;0.00;1.49;0.33;0.04;+0.05;7.22;15.6;46.4;19.0;3.67;44.4;36.0;10.3;68.8;46.0;15.8;0.22;1.4;0.44;0.44;10.0;Matches;41bd99ea
168;Andrea Seculin;it ITA;GK;Chievo;it Serie A;28;1990;1.0;7.00;0.00;0.00;1.00;0.00;4.70;0.40;-2.30;-2.26;6.00;13.0;46.2;19.0;3.00;52.6;37.1;5.00;60.0;47.0;6.00;0.00;0.0;2.00;1.98;19.7;Matches;c4f573f4
169;Matz Sels;be BEL;GK;Strasbourg;fr Ligue 1;26;1992;37.0;1.30;0.19;0.08;0.11;0.03;1.22;0.25;-0.05;-0.05;6.92;17.5;39.4;22.0;5.03;48.3;39.3;8.84;78.0;55.1;15.3;0.70;4.6;0.81;0.81;12.3;Matches;834b5c4c
170;Adrian Šemper;hr CRO;GK;Chievo;it Serie A;20;1998;6.0;1.33;0.00;0.00;0.17;0.00;1.35;0.26;0.02;+0.02;7.33;19.2;38.3;23.8;4.33;47.6;39.8;8.67;90.4;55.1;24.7;1.83;7.4;0.50;0.50;9.1;Matches;f02dde20
171;Luigi Sepe;it ITA;GK;Parma;it Serie A;27;1991;37.0;1.59;0.22;0.03;0.22;0.11;1.51;0.25;0.02;+0.02;8.62;19.9;43.3;20.3;3.78;49.5;39.8;12.6;78.1;51.5;22.5;0.97;4.3;0.35;0.35;9.4;Matches;343f753a
172;Unai Simón;es ESP;GK;Athletic Club;es La Liga;21;1997;7.0;1.86;0.29;0.00;0.29;0.00;1.90;0.34;0.04;+0.04;6.00;14.6;41.2;19.1;4.86;43.3;36.7;7.86;80.0;56.8;12.7;0.57;4.5;0.29;0.29;11.1;Matches;5dcf3e90
173;Salvatore Sirigu;it ITA;GK;Torino;it Serie A;31;1987;35.2;0.99;0.06;0.00;0.11;0.00;1.16;0.28;0.16;+0.16;8.15;18.0;45.2;23.4;3.38;47.3;38.0;8.52;82.0;51.0;15.3;0.74;4.8;1.02;1.02;13.9;Matches;10dc46f0
174;Antonio Sivera;es ESP;GK;Alavés;es La Liga;21;1996;3.0;1.33;0.00;0.00;0.33;0.00;0.83;0.20;-0.50;-0.49;11.0;26.7;41.3;22.0;3.67;74.2;48.9;11.0;93.9;62.8;25.0;0.67;2.7;0.67;0.67;8.6;Matches;9970da54
175;?ukasz Skorupski;pl POL;GK;Bologna;it Serie A;27;1991;38.0;1.47;0.11;0.03;0.11;0.03;1.33;0.27;-0.12;-0.11;6.61;14.3;46.2;20.4;5.92;41.1;36.4;9.29;63.5;46.7;15.8;0.84;5.3;0.37;0.37;11.3;Matches;ab4449d6
176;Yann Sommer;ch SUI;GK;M'Gladbach;de Bundesliga;29;1988;34.0;1.24;0.09;0.00;0.09;0.00;1.42;0.30;0.18;+0.18;5.12;13.7;37.4;39.4;5.59;26.3;30.5;7.76;42.8;40.0;13.5;0.76;5.7;0.97;0.97;13.8;Matches;420c18a1
177;David Soria;es ESP;GK;Getafe;es La Liga;25;1993;37.0;0.92;0.11;0.03;0.05;0.05;1.07;0.26;0.20;+0.20;9.49;25.4;37.3;21.8;1.32;83.7;51.7;7.54;95.0;59.2;12.6;0.54;4.3;1.03;1.03;13.8;Matches;8f8c6934
